Id,Fen,Moves,Rating,RatingDeviation
0Bule,2r3k1/1Q3pp1/p3p2p/1p6/8/1P1q4/P1r3PP/3R3K w - - 0 28,d1d3 c2c1 d3d1 c1d1,600,99
0CJIl,5k2/p4pp1/7p/2p1bN2/P1P5/1P5P/1r4P1/3R3K w - - 2 36,d1d7 b2b1 d7d1 b1d1,600,109
0CRi6,r2q1bk1/pp5p/2npb1p1/2pNp3/2PnP2P/2NP2P1/PP4B1/R1BQ2K1 b - - 0 18,d8d7 d5f6 g8h8 f6d7,600,152
0CYrr,3r3k/p6p/1p4p1/4b3/4BR2/1P5P/P5P1/7K w - - 1 30,f4f3 d8d1 f3f1 d1f1,600,102
0Ct9h,3kr3/1p2qp2/3b1Q1p/1N4p1/2p5/8/P1P2PPP/1R4K1 w - - 6 37,f6d4 e7e1 b1e1 e8e1,600,106
0D8DS,3r3k/p5p1/5p1p/2p4b/P1Pq2P1/1P2R2P/3r1P2/1Q2R1K1 b - - 0 32,h5g4 e3e8 d8e8 e1e8,600,106
0DPNt,6k1/5ppp/1r2pb2/p7/Rp1nP3/1P4P1/6KP/2R5 b - - 0 39,d4b3 c1c8 f6d8 c8d8,600,108
0DVpn,8/p4p1k/2pR2p1/q1p2P1p/2P5/1P5R/P4QPP/4r1K1 w - - 1 31,f2e1 a5e1,600,112
0DgcE,8/pp1kr3/8/2p5/3p1p2/3P2p1/PPP1Q1P1/6K1 w - - 0 35,e2f3 e7e1 f3f1 e1f1,600,110
0Dy2w,4r2k/ppp2p1p/3b1r2/3P4/8/2N4P/PPP3P1/5R1K w - - 0 26,f1f6 e8e1 f6f1 e1f1,600,90
0EFmt,8/PR6/1P2p1kp/r2p1pp1/8/2P1P3/2R2PPP/6K1 w - - 1 37,b7b8 a5a1 c2c1 a1c1,600,100
0EHvm,3r2kb/4Rp1p/p5p1/1pp1n3/5B2/2P2N2/PP3PPP/6K1 w - - 3 25,f4e5 d8d1 f3e1 d1e1,600,97
0EKV2,3r4/p1p4p/5kp1/8/2P5/1P6/P4PPP/4R1K1 w - - 2 24,e1e2 d8d1 e2e1 d1e1,600,95
0ENTP,8/ppp1ppkp/6p1/N7/P7/1P2P3/1r3PPP/2R3K1 w - - 1 21,c1c7 b2b1 c7c1 b1c1,600,112
0Ebb5,3r2k1/pp3ppp/4n3/3r4/5P2/8/1P2R1PP/4R1K1 b - - 0 31,e6f4 e2e8 d8e8 e1e8,600,99
0FXcv,1b1r2k1/6pp/5p2/p4Q1P/4p3/P7/1P4P1/3r1R1K w - - 1 38,f1d1 d8d1 f5f1 d1f1,600,98
0FnNq,2r1r1k1/1R1b1ppp/p7/1n1p4/3N4/P3P2P/3R1PPB/6K1 w - - 9 31,b7d7 c8c1 d2d1 c1d1,600,80
0G8GE,k1r5/ppQ3pp/8/8/1b6/8/PPP2P1P/1K1R4 b - - 0 26,c8c7 d1d8 c7c8 d8c8,600,112
0GCGQ,8/3R1ppk/7p/p1r5/8/1B6/P4PPP/6K1 w - - 0 30,d7f7 c5c1 b3d1 c1d1,600,108
0GLAJ,r1r3k1/5ppp/Qp2pq2/p2p4/3P4/P3P3/1P3PPP/2R2RK1 b - - 2 17,a8a6 c1c8 f6d8 c8d8,600,110
0GoIS,r6k/8/4p2p/8/3P4/8/6PP/5R1K w - - 0 34,f1f7 a8a1 f7f1 a1f1,600,94
0H7TA,2Q2b2/kq6/4p1p1/3p3p/3P4/4B3/P4PPP/6K1 w - - 0 31,c8f8 b7b1 e3c1 b1c1,600,99
0HBNW,r4rk1/p1p3pp/2p5/8/2P1R3/1P1PP3/P4qPP/RN1Q2K1 w - - 1 18,g1h1 f2f1 d1f1 f8f1,600,88
0HDhy,8/5ppk/4p2p/2B1P3/1Pp5/5P2/2pKb1PP/rrR1R3 w - - 0 33,d2e2 b1c1 e1c1 a1c1,600,106
0HDuL,8/5rpk/8/p3p3/2N1P3/2P3pP/PP4P1/3Q1q1K w - - 4 41,d1f1 f7f1,600,123
0HUDH,2r3k1/5ppp/4p3/1RPp4/2nP4/4P2P/5PPK/8 b - - 2 29,c8c7 b5b8 c7c8 b8c8,600,101
0HiEm,6k1/3r1p1p/5pn1/8/R7/P4N2/5PPP/3r1RK1 w - - 1 29,f1d1 d7d1 f3e1 d1e1,600,96
0HtuZ,4r1k1/p4ppp/8/1pp2P2/4Q3/1PP5/6PP/3R3K b - - 0 28,e8e4 d1d8 e4e8 d8e8,600,101
0IquZ,3r3k/pB3Rpp/1b6/6B1/2p3b1/8/PPP3PP/5K2 w - - 2 26,b7a6 d8d1,600,103
0J7kD,4r2k/6pp/p3Q3/1p6/8/7P/Pq3PP1/2R2RK1 b - - 0 26,e8e6 c1c8 e6e8 c8e8,600,91
0Jr7A,8/3N1pkp/r5p1/1p6/3P4/2P1R3/5PPP/6K1 w - - 0 32,d7c5 a6a1 e3e1 a1e1,600,87
0JyVU,2kr3r/pp2b1pp/2p5/2P2b2/1P6/8/P4PPP/R1B1R1K1 w - - 0 16,e1e7 d8d1 e7e1 d1e1,600,97
0KCkT,6k1/3R1ppp/8/8/8/4P2r/6K1/8 b - - 0 36,h3e3 d7d8 e3e8 d8e8,600,102
0KJaY,1r4k1/5ppp/5n2/8/5P2/4P1P1/1Q5P/3R2K1 b - - 0 38,b8b2 d1d8 f6e8 d8e8,600,99
0KVlN,7k/pp4pp/2p2n2/2Pp4/1P1r4/P2B4/4RPPP/6K1 w - - 1 29,d3f5 d4d1 e2e1 d1e1,600,107
0Kp7e,4r1k1/pp3pp1/3P3p/8/8/2Pq4/PP3PPP/K2R4 w - - 0 24,d1d3 e8e1 d3d1 e1d1,600,110
0LQiB,1kr5/pp4pp/8/8/3P4/4PB2/2R2PPP/6K1 w - - 1 40,c2b2 c8c1 f3d1 c1d1,600,93
0M8Ez,3r2k1/ppbr1ppp/2p5/2P3q1/1P6/P3Q1NP/5PP1/4RRK1 b - - 8 28,g5d5 e3e8 d8e8 e1e8,600,98
0MFrU,4r1k1/p1p2ppp/2p2P2/5q2/8/8/PP4PP/5Q1K w - - 1 24,f1f5 e8e1 f5f1 e1f1,600,96
0MKfw,3r2k1/5p1p/2prp1p1/p7/2P3Q1/1P6/P2q1PPP/R3R1K1 w - - 2 28,e1d1 d2d1 a1d1 d6d1 g4d1 d8d1,600,95
0MLNk,4r1k1/4Qppp/8/8/8/7P/5PP1/3R2K1 b - - 0 32,e8e7 d1d8 e7e8 d8e8,600,84
0MVXw,6k1/2r1np1p/6pb/2n1P3/5P2/6P1/P1R3KP/2R5 b - - 2 42,c5a6 c2c7 a6c7 c1c7,600,102
0MYko,Rbkr4/7R/2p1p1p1/8/4P3/1PP2N2/1P3PPP/6K1 w - - 1 24,h2h3 d8d1 f3e1 d1e1,600,109
0MaBy,6k1/pB3ppp/4p3/4P1PP/1n3P2/1P1r4/P5r1/2R1K2R b - - 6 36,g2a2 c1c8 d3d8 c8d8,600,97
0NH6j,2b1k3/3rp3/p1p5/1p2P3/5N1b/BP6/P1P1RPPP/6K1 w - - 3 29,f4g6 d7d1 e2e1 d1e1,600,108
0NrIB,5rk1/6p1/p6p/1p2p3/8/8/PPP2RPP/1K6 w - - 1 32,f2e2 f8f1 e2e1 f1e1,600,109
0O2VR,4r1k1/p4ppp/8/2p5/2P5/2Rq4/P3rPPP/2R3K1 w - - 0 27,c3d3 e2e1 c1e1 e8e1,600,106
0ON2L,2b2r1k/5Bpp/3R4/p3p3/4P3/5P1P/6PK/8 b - - 0 40,f8f7 d6d8 f7f8 d8f8,600,103
0Ogsv,r5k1/pp1q1ppp/2p4n/3p1b2/3P1N2/BPP1Q3/P4PPP/4R1K1 b - - 6 21,a8e8 e3e8 d7e8 e1e8,600,100
0Ps18,6k1/5p1p/p5pB/1b1R1P2/2p5/3p4/1P2r1PP/5K2 b - - 0 29,e2b2 d5d8 b5e8 d8e8,600,84
